verdict,canonicalName,fdcDescription,fdcId,calories,fat,protein,carbs,judgeReason,guardrailVerdict,overlapRatio,hansRuling
YES,crunchy chow mein noodles,"Noodles, flat, crunchy, Chinese restaurant",169735,521,31.7,10.3,51.9,Crunchy fried Chinese noodles match; fatty fried macros consistent with chow mein noodles.,pass,0.4,
YES,crusty sourdough bread,"Bread, french or vienna (includes sourdough)",172675,272,2.42,10.8,51.9,Sourdough bread matched to bread record explicitly including sourdough; macros are typical bread values.,pass,0.4,
YES,dried chipotle chile,"Peppers, hot chile, sun-dried",168570,324,5.81,10.6,69.9,Chipotle is a dried chile; sun-dried hot chile matches the food and dried state with plausible macros.,fail,0.4,
YES,dried guajillo chile,"Peppers, hot chile, sun-dried",168570,324,5.81,10.6,69.9,Guajillo is a dried chile; generic sun-dried hot chile record matches food and state with plausible macros.,fail,0.4,
YES,dry red wine,"Alcoholic beverage, wine, table, red",173190,85,0,0.07,2.61,Table red wine matches 'dry red wine'; macros are consistent with red wine.,fail,0.4,
YES,dry white wine,"Alcoholic beverage, wine, table, white",174837,82,0,0.07,2.6,White table wine matches recipe's dry white wine; macros are consistent with wine.,fail,0.4,
YES,fish sauce,"Sauce, fish, ready-to-serve",174531,35,0.01,5.06,3.64,Fish sauce matched to fish sauce ready-to-serve; macros consistent with the condiment.,pass,0.4,
YES,ground beef (80/20),"Beef, ground, 80% lean meat / 20% fat, raw",174036,254,20,17.2,0,"Exact match: 80/20 ground beef raw, macros consistent with fatty raw beef.",pass,0.4,
YES,ground beef (90/10),"Beef, ground, 90% lean meat / 10% fat, raw",174030,176,10,20,0,"Exact match: 90/10 raw ground beef, macros consistent",pass,0.4,
YES,hot dog buns,"Rolls, hamburger or hot dog, whole wheat",174090,269,4.38,12.4,44.9,"Hot dog buns matched to hot dog rolls (whole wheat variant); same food, usable state, macros plausible for bread.",fail,0.4,
YES,iceberg lettuce,"Lettuce, iceberg (includes crisphead types), raw",169248,14,0.14,0.9,2.97,"Same food, raw state; macros match iceberg lettuce.",pass,0.4,
YES,neutral cooking spray,"Oil, PAM cooking spray, original",171430,792,78.7,0.26,20.7,Cooking spray matched to cooking spray; oil-based ~100% fat macros are correct for the product.,fail,0.4,
YES,pumpkin seeds,"Seeds, pumpkin and squash seed kernels, dried",170556,559,49,30.2,10.7,"Pumpkin seed kernels, dried; macros match typical pepitas as recipes use them.",fail,0.4,
YES,russet potato,"Potatoes, Russet, flesh and skin, baked",170030,95,0.13,2.63,21.4,Russet potato matched to baked russet; macros consistent with cooked potato and usable state for a recipe.,pass,0.4,
YES,small corn tortilla,"Tortilla, blue corn, Sakwavikaviki (Hopi)",169829,276,1.4,7.83,58.1,Blue corn tortilla is essentially the same food as a small corn tortilla; macros are typical for corn tortillas.,pass,0.4,
YES,small corn tortillas,"Tortilla, blue corn, Sakwavikaviki (Hopi)",169829,276,1.4,7.83,58.1,Blue corn tortilla is a corn tortilla; color variety doesn't change macros; dry-mass macros match expected tortilla profile.,pass,0.4,
YES,soy sauce,Soy sauce made from soy (tamari),174278,60,0.1,10.5,5.57,Tamari is a type of soy sauce; macros are consistent with soy sauce and usable as recipes name it.,pass,0.4,
YES,taco seasoning,"Seasoning mix, dry, taco, original",172243,322,0,4.5,58,Dry taco seasoning mix matches the recipe ingredient in the correct state; macros are plausible for a dry spice/starch blend.,pass,0.4,
YES,teriyaki sauce,"Sauce, teriyaki, ready-to-serve",171167,89,0.02,5.93,15.6,"Same food, ready-to-serve teriyaki sauce matched correctly with plausible macros.",pass,0.4,
YES,tomato sauce,"Tomato products, canned, sauce, with tomato tidbits",170463,32,0.39,1.32,7.09,Canned tomato sauce variant; macros match tomato sauce and it's the same usable food.,pass,0.4,
YES,tortilla chips,"Snacks, tortilla chips, nacho cheese",167559,519,27.4,7.36,60.8,Nacho cheese tortilla chips are a valid tortilla chip variant with reasonable chip macros; flavor difference is negligible.,fail,0.4,
YES,white wine,"Alcoholic beverage, wine, table, white",174837,82,0,0.07,2.6,White table wine matches recipe usage; macros consistent with white wine.,fail,0.4,
YES,canned kidney beans,"Beans, kidney, all types, mature seeds, canned",173741,84,0.6,5.22,14.5,Canned kidney beans matched to canned kidney beans; macros fit legumes.,pass,0.43,
YES,shredded mozzarella cheese,"Cheese, mozzarella, low moisture, part-skim, shredded",170900,304,19.7,23.6,8.06,"Same food, same state (shredded low-moisture part-skim mozzarella); macros are consistent with mozzarella.",pass,0.43,
YES,all-purpose flour,"Flour, wheat, all-purpose, enriched, bleached",789890,366,1.48,10.9,77.3,All-purpose flour matched to all-purpose wheat flour; macros are consistent with dry flour.,pass,0.5,
YES,bagels,"Bagels, egg",174901,278,2.1,10.6,53,Egg bagel is a plausible bagel variant with macros typical of bagels; usable as recipe would use bagels.,pass,0.5,
YES,boneless skinless chicken breast,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",171077,120,2.62,22.5,0,"Exact match: boneless skinless raw chicken breast, macros consistent with lean poultry.",pass,0.5,
YES,bread and butter pickles,"Pickles, cucumber, sweet (includes bread and butter pickles)",169378,91,0.41,0.58,21.2,USDA record explicitly includes bread and butter pickles; macros match sweet pickle profile.,pass,0.5,
YES,canned diced green chiles,"Peppers, chili, green, canned",168577,21,0.27,0.72,4.6,Canned green chiles match canned green chili peppers; macros consistent with a low-cal vegetable in usable state,fail,0.5,
YES,canned green chiles,"Peppers, chili, green, canned",168577,21,0.27,0.72,4.6,Canned green chiles match USDA canned green chili peppers; macros consistent with a low-cal vegetable.,fail,0.5,
YES,caper,"Capers, canned",172238,23,0.86,2.36,4.89,Capers in recipes are the canned/brined product; macros consistent with capers.,pass,0.5,
YES,capers,"Capers, canned",172238,23,0.86,2.36,4.89,Capers are used canned/brined; matched food and macros are consistent.,pass,0.5,
YES,cayenne pepper,"Spices, pepper, red or cayenne",170932,318,17.3,12,56.6,"Dried cayenne pepper spice; macros match ground red pepper spice, correct food and state.",fail,0.5,
YES,cotija cheese,"Cheese, mexican, queso cotija",170898,366,30,20,3.97,"Exact match: cotija cheese to USDA queso cotija, macros consistent with a firm aged cheese",pass,0.5,
YES,crushed red pepper flakes,"Spices, pepper, red or cayenne",170932,318,17.3,12,56.6,Crushed red pepper flakes are dried red/cayenne pepper spice; macros match a dried chili spice.,fail,0.5,
YES,cucumber,"Cucumber, peeled, raw",169225,10,0.16,0.59,2.16,"Peeled vs unpeeled cucumber differs negligibly in macros; same food, usable raw state.",pass,0.5,
YES,dry hard cider,"Beverages, AMBER, hard cider",174146,56,0,0,5.92,Hard cider matched to hard cider; 'amber' vs 'dry' is negligible for macros/density.,fail,0.5,
YES,feta,"Cheese, feta",173420,265,21.5,14.2,3.88,"Feta matched to Cheese, feta; macros consistent with feta cheese in usable form",fail,0.5,
YES,feta block,"Cheese, feta",173420,265,21.5,14.2,3.88,Feta block is just feta cheese; macros match a typical feta profile.,fail,0.5,
YES,flaky sea salt,"Salt, table",173468,0,0,0,0,"Salt is salt; contributes sodium not macros, so all-zero macros are correct and the state difference (flaky vs table) is negligible.",pass,0.5,
YES,french baguette,"Rolls, french",172795,277,4.3,8.6,50.2,French rolls and baguette are essentially the same lean French bread; macros match a crusty white bread.,fail,0.5,
YES,fresh dill,"Dill weed, fresh",172233,43,1.12,3.46,7.02,"Same food, same fresh state; macros match fresh dill weed.",pass,0.5,
YES,ginger,"Ginger root, raw",169231,80,0.75,1.82,17.8,"Ginger root, raw matches recipe 'ginger'; macros consistent with fresh ginger.",pass,0.5,
YES,greek yogurt or mayo,"Yogurt, Greek, plain, lowfat",170903,73,1.92,9.95,3.94,Greek yogurt matches; the 'or mayo' alternative doesn't change that this record correctly describes plain Greek yogurt as used.,pass,0.5,
YES,green beans,"Beans, snap, green, microwaved",169965,33,0.5,2.31,6.41,"Snap green beans, cooked state matches recipe use; macros consistent with green beans.",pass,0.5,
YES,ground beef,"Beef, grass-fed, ground, raw",168608,198,12.7,19.4,0,"Grass-fed ground beef, raw is the same food in usable state; macros are typical for ground beef.",pass,0.5,
YES,ground beef patties,"Beef, ground, patties, frozen, cooked, broiled",169447,295,21.8,23,0,"Same food (ground beef patties); cooked state is how a recipe uses cooked patties, macros are plausible for beef.",pass,0.5,
YES,heavy cream,"Cream, fluid, heavy whipping",170859,340,36.1,2.84,2.84,Heavy cream matches heavy whipping cream; macros (~36% fat) are consistent.,pass,0.5,
YES,hoagie roll,"Rolls, french",172795,277,4.3,8.6,50.2,A hoagie roll is a French/sub-style bread roll; macros match typical white bread rolls.,pass,0.5,
YES,hot sauce,"Sauce, hot chile, sriracha",171186,93,0.93,1.93,19.2,Sriracha is a hot sauce; macros are consistent and usable as-is.,pass,0.5,
YES,ketchup,"Ketchup, restaurant",747693,117,0.55,1.11,26.8,Restaurant ketchup matches recipe ketchup; macros are typical for ketchup.,pass,0.5,
YES,lemon zest,"Lemon peel, raw",167749,47,0.3,1.5,16,Lemon peel raw is the same food as lemon zest; macros are plausible for citrus peel.,pass,0.5,
YES,neutral cooking oil,"Oil, soybean, salad or cooking",171411,884,100,0,0,Neutral cooking oil is well-represented by soybean cooking oil; 100% fat matches.,pass,0.5,
YES,olive oil,"Oil, corn, peanut, and olive",167737,884,100,0,0,"Blended oil incl. olive is ~100% fat, macro-identical to pure olive oil; negligible difference.",pass,0.5,
YES,peanut butter,"Peanut butter, reduced sodium",169869,590,49.9,24,21.8,Reduced sodium peanut butter has same macros as regular; sodium isn't a macro.,pass,0.5,
YES,pickled banana peppers,"Peppers, hot pickled, canned",169766,22,0.4,0.8,4.56,"Pickled banana peppers are a pickled pepper; hot pickled canned peppers match food and state, macros plausible for pickled peppers.",pass,0.5,
YES,pita bread,"Bread, pita, white, enriched",174915,275,1.2,9.1,55.7,White enriched pita matches recipe use; macros are plausible for pita bread.,pass,0.5,
YES,purple cabbage,"Cabbage, red, raw",169977,31,0.16,1.43,7.37,Purple cabbage is red cabbage; raw state and macros match.,pass,0.5,
YES,ranch dressing,"Salad dressing, ranch dressing, regular",173592,430,44.5,1.32,5.9,Ranch dressing matched to regular ranch dressing; macros consistent with a fat-rich dressing.,pass,0.5,
YES,red pepper flakes,"Spices, pepper, red or cayenne",170932,318,17.3,12,56.6,Red pepper flakes are dried/crushed red (cayenne-type) chili peppers; macros match the spice form used in recipes.,fail,0.5,
YES,refried beans,"ON THE BORDER, refried beans",169032,144,5,7.3,17.5,Branded refried beans matches the ingredient; macros are plausible for refried beans.,fail,0.5,
YES,salt,"Salt, table",173468,0,0,0,0,"Salt matched to table salt; zero macros correct, sodium not a macro.",pass,0.5,
YES,sesame oil,"Oil, sesame, salad or cooking",171016,884,100,0,0,Sesame oil matched to sesame oil record; 100% fat macros are correct.,pass,0.5,
YES,sharp cheddar,"Cheese, cheddar, sharp, sliced",170899,410,33.8,24.2,2.13,"Same food; sharp cheddar (sliced form) has same macros as recipe's cheddar, values match typical cheddar.",fail,0.5,
YES,sirloin steak,"DENNY'S, top sirloin steak",167673,182,7.34,28.9,0.14,"Restaurant top sirloin steak; macros match lean beef, usable as recipe's sirloin steak",fail,0.5,
YES,smoked paprika,"Spices, paprika",171329,282,12.9,14.1,54,"Smoked paprika is paprika (smoked variant); macros match generic paprika, negligible difference.",fail,0.5,
YES,smoked sausage,"Sausage, smoked link sausage, pork",174584,309,28.2,12,0.94,Smoked pork sausage matches recipe use; macros consistent with a fatty sausage.,pass,0.5,
YES,soft dinner roll,"Andrea's, Gluten Free Soft Dinner Roll",167590,257,8.2,5.65,40.2,Gluten-free soft dinner roll is the same food (a soft dinner roll) with plausible bread macros; GF variant won't materially shift macros.,fail,0.5,
YES,sugar,"Sugar, turbinado",170674,399,0,0,99.8,Turbinado sugar is nearly pure sucrose with macros essentially identical to white sugar; negligible difference.,pass,0.5,
YES,vegetable broth,"Soup, SWANSON, vegetable broth",171180,6,0.07,0.23,1.02,Vegetable broth matched to vegetable broth; macros consistent with a thin broth.,fail,0.5,
YES,vegetable oil,"Oil, vegetable, soybean, refined",172370,884,100,0,0,Vegetable oil matched to soybean oil; ~100% fat macros are correct for cooking oil.,pass,0.5,
YES,white vinegar,"Vinegar, distilled",172237,18,0,0,0.04,Distilled vinegar is white vinegar; macros match expected near-zero profile.,pass,0.5,
YES,wide egg noodle,"Noodles, egg, dry, enriched",169731,384,4.44,14.2,71.3,"Egg noodles matched to dry enriched egg noodles; recipes name them dry, macros consistent.",pass,0.5,
YES,wide egg noodles,"Noodles, egg, dry, enriched",169731,384,4.44,14.2,71.3,"Egg noodles matched to dry enriched egg noodles; recipe uses them dry, macros consistent.",pass,0.5,
YES,yellow on-yon,"Onions, yellow, raw",790646,38,0.05,0.83,8.61,'yellow on-yon' is a misspelled yellow onion; raw yellow onion record matches with sensible veg macros.,fail,0.5,
YES,canned mild red enchilada sauce,"Sauce, enchilada, red, mild, ready to serve",174074,30,0.91,0.62,4.87,"Exact match: red mild enchilada sauce, ready to serve, with plausible sauce macros",pass,0.57,
YES,mild red enchilada sauce,"Sauce, enchilada, red, mild, ready to serve",174074,30,0.91,0.62,4.87,"Exact match: red mild enchilada sauce, ready-to-serve, macros consistent with a tomato-based sauce.",pass,0.57,
YES,shredded low-moisture mozzarella,"Cheese, mozzarella, low moisture, part-skim, shredded",170900,304,19.7,23.6,8.06,"Same food, same state (shredded low-moisture part-skim mozzarella); macros are consistent with the recipe usage.",fail,0.57,
YES,canned navy beans,"Beans, navy, mature seeds, canned",173747,113,0.43,7.53,20.4,Canned navy beans matched to canned navy beans; macros fit cooked/canned beans.,pass,0.6,
YES,canned pinto beans,"Beans, pinto, canned, drained solids",174286,114,0.9,6.99,20.2,"Same food, same state (canned, drained); macros consistent with drained pinto beans.",pass,0.6,
YES,cream of mushroom soup,"CAMPBELL'S, Cream of Mushroom Soup, condensed",172901,81,5.5,1.29,6.59,Condensed cream of mushroom soup is exactly how recipes use it; macros fit.,fail,0.6,
YES,extra-firm tofu,"Tofu, extra firm, prepared with nigari",174290,83,5.26,9.98,1.18,"Extra-firm tofu matched to extra-firm tofu; nigari coagulant is negligible, macros fit tofu.",pass,0.6,
YES,frozen corn kernels,"Corn, yellow, whole kernel, frozen, microwaved",169217,113,1.42,3.62,25.9,"Frozen corn kernels matched to frozen whole kernel corn; macros consistent with corn, cooking method (microwaved) negligible.",pass,0.6,
YES,bay leaf,"Spices, bay leaf",170917,313,8.36,7.61,75,Dried bay leaf spice matches how recipes use bay leaf; macros consistent with the dried spice.,fail,0.67,
YES,black pepper,"Spices, pepper, black",170931,251,3.26,10.4,64,Ground black pepper spice matches the recipe use; macros consistent with dried spice.,fail,0.67,
YES,celery seed,"Spices, celery seed",170920,392,25.3,18.1,41.4,Celery seed spice matches recipe usage; macros consistent with dried seed spice.,fail,0.67,
YES,chili powder,"Spices, chili powder",171319,282,14.3,13.5,49.7,Chili powder spice blend matched correctly; macros consistent with a dried spice.,fail,0.67,
YES,crushed tomatoes,"Tomatoes, crushed, canned",170501,32,0.28,1.64,7.29,"Exact match: crushed canned tomatoes with plausible tomato macros (~32 kcal, low fat, ~7g carbs).",pass,0.67,
YES,dill pickle relish,"Pickle relish, hamburger",169386,129,0.54,0.63,34.5,Hamburger pickle relish and dill pickle relish are both low-calorie pickle relishes with similar macros; negligible difference.,pass,0.67,
YES,dried ancho chile,"Peppers, ancho, dried",169396,281,8.2,11.9,51.4,Same food (dried ancho chile) in matching dried state; macros consistent with dried peppers.,fail,0.67,
YES,dried ancho chili,"Peppers, ancho, dried",169396,281,8.2,11.9,51.4,Same food (dried ancho chili) in matching dried state; macros consistent with dried peppers.,fail,0.67,
YES,dried basil,"Spices, basil, dried",171317,233,4.07,23,47.8,Dried basil spice matches recipe usage; macros consistent with dried basil.,fail,0.67,
YES,dried oregano,"Spices, oregano, dried",171328,265,4.28,9,68.9,Dried oregano matched to dried oregano spice; macros consistent.,fail,0.67,
YES,dried rosemary,"Spices, rosemary, dried",171333,331,15.2,4.88,64.1,Dried rosemary spice matches recipe usage; macros consistent with dried herb.,fail,0.67,
YES,dried thyme,"Spices, thyme, dried",170938,276,7.43,9.11,63.9,Dried thyme matched to dried thyme spice; macros consistent with dried herb.,fail,0.67,
YES,english muffins,"Muffins, English, wheat",172761,223,2,8.7,44.8,"Correct food; English muffin macros match, usable as-is in a recipe.",pass,0.67,
YES,fennel seed,"Spices, fennel seed",171323,345,14.9,15.8,52.3,Recipe fennel seed matches the whole fennel seed spice; macros consistent with dry seed.,fail,0.67,
YES,garlic powder,"Spices, garlic powder",171325,331,0.73,16.6,72.7,"Exact match: garlic powder to USDA garlic powder, macros consistent with dried spice.",fail,0.67,
YES,ground cinnamon,"Spices, cinnamon, ground",171320,247,1.24,3.99,80.6,Same food (ground cinnamon); macros match USDA spice profile.,fail,0.67,
YES,ground cloves,"Spices, cloves, ground",171321,274,13,5.97,65.5,"Exact match: ground cloves spice, correct state and macros.",fail,0.67,
YES,low-sodium chicken broth,"Soup, chicken broth, low sodium, canned",171609,16,0.6,2,1.2,"Same food: low-sodium chicken broth, ready-to-use liquid state with matching low-calorie macros.",fail,0.67,
YES,mild chili powder,"Spices, chili powder",171319,282,14.3,13.5,49.7,"Chili powder spice blend; 'mild' is just heat level, macros match the same product.",fail,0.67,
YES,onion powder,"Spices, onion powder",171327,341,1.04,10.4,79.1,Record is onion powder spice; macros consistent with dried onion powder as recipes use it.,fail,0.67,
YES,parmesan cheese,"Cheese, parmesan, grated",171247,420,27.8,28.4,13.9,Grated parmesan is exactly how recipes use parmesan cheese; macros fit hard cheese.,pass,0.67,
YES,romaine lettuce,"Lettuce, cos or romaine, raw",169247,17,0.3,1.23,3.29,"Cos/romaine is the same food, raw state matches recipe use; macros fit a leafy green",pass,0.67,
YES,sesame seeds,"Seeds, sesame seeds, whole, dried",170150,573,49.7,17.7,23.4,"Same food, dry/whole state matches recipe use; macros consistent with sesame seeds",fail,0.67,
YES,shaved parmesan cheese,"Cheese, parmesan, shredded",173431,415,27.3,37.9,3.41,Same food (parmesan); shaved vs shredded is a form difference that doesn't meaningfully change per-100g macros.,pass,0.67,
YES,sour cream,"Cream, sour, cultured",171257,198,19.4,2.44,4.63,"Exact match: cultured sour cream, macros consistent with full-fat sour cream",pass,0.67,
YES,sun-dried tomatoes in oil,"Tomatoes, sun-dried, packed in oil, drained",169384,213,14.1,5.06,23.3,"Same food, oil-packed drained state matches recipe usage; macros consistent with oil-packed sun-dried tomatoes",pass,0.67,
YES,sweet relish,"Pickle relish, sweet",168561,130,0.47,0.37,35.1,Sweet relish matches sweet pickle relish; macros consistent with sugary relish.,pass,0.67,
YES,taco shells,"Taco shells, baked",172800,476,21.8,6.41,63.5,"Same food, baked taco shells; macros consistent with a crisp corn shell as recipes use it.",pass,0.67,
YES,canned refried beans,"Refried beans, canned, vegetarian",174296,83,0.87,5.28,13.5,Same food (canned refried beans); vegetarian variant with plausible macros for how a recipe uses it.,pass,0.75,
YES,canned tomato sauce,"Tomato products, canned, sauce",170054,24,0.3,1.2,5.31,"Exact match: canned tomato sauce to USDA canned tomato sauce, macros consistent with tomato sauce.",pass,0.75,
YES,frozen mixed vegetables,"Vegetables, mixed, frozen, unprepared",170471,72,0.52,3.33,13.5,"Exact match: frozen mixed vegetables, unprepared; macros consistent with vegetables.",pass,0.75,
YES,italian pork sausage links,"Sausage, Italian, sweet, links",172952,149,8.42,16.1,2.1,Italian sweet pork sausage links match the ingredient; raw-state macros are appropriate.,pass,0.75,
YES,lean ground turkey,"Turkey, ground, 85% lean, 15% fat, raw",174493,180,12.5,16.9,0,Lean ground turkey matched to raw 85% lean ground turkey; correct food and state with plausible macros.,pass,0.75,
YES,mild italian sausage,"Sausage, Italian, pork, mild, raw",171631,290,24.3,13.9,2.97,"Same food, same raw state; macros match mild raw Italian pork sausage.",pass,0.75,
YES,plain greek yogurt,"Yogurt, Greek, plain, lowfat",170903,73,1.92,9.95,3.94,Greek plain yogurt; lowfat vs full-fat differs slightly but macros are reasonable and usable.,pass,0.75,
YES,sharp cheddar cheese,"Cheese, cheddar, sharp, sliced",170899,410,33.8,24.2,2.13,"Sharp cheddar; sliced vs block is irrelevant to per-100g macros, which match cheddar.",pass,0.75,
YES,lean ground beef meat boi,"Beef, ground, 90% lean meat / 10% fat, raw",174030,176,10,20,0,"Lean ground beef, raw matches USDA 90/10 raw ground beef; typo noise only.",pass,0.8,
YES,apple cider vinegar,"Vinegar, cider",173469,21,0,0,0.93,Cider vinegar matches apple cider vinegar; macros consistent with vinegar.,pass,1,
YES,asparagus,"Asparagus, raw",168389,20,0.12,2.2,3.88,Raw asparagus matches recipe usage; macros consistent with the vegetable.,pass,1,
YES,baby carrot,"Carrots, baby, raw",168568,35,0.13,0.64,8.24,"Same food, correct raw state; macros match baby carrots.",pass,1,
YES,balsamic vinegar,"Vinegar, balsamic",172241,88,0,0.49,17,"Same food, correct state; macros match balsamic vinegar.",pass,1,
YES,barbecue sauce,"Sauce, barbecue",174523,172,0.63,0.82,40.8,"Exact match: 'Sauce, barbecue' with plausible BBQ sauce macros (high sugar/carbs, low fat/protein)",pass,1,
YES,beets,"Beets, raw",169145,43,0.17,1.61,9.56,"Beets, raw matches the ingredient; macros consistent with raw beets.",pass,1,
YES,blueberries,"Blueberries, raw",171711,57,0.33,0.74,14.5,Raw blueberries match the recipe use; macros are consistent with fresh blueberries.,pass,1,
YES,brown sugar,"Sugars, brown",168833,380,0,0.12,98.1,"Brown sugar matched to 'Sugars, brown' with sensible macros (~380 cal, ~98g carbs); same food, usable state.",pass,1,
YES,celery,"Celery, raw",169988,14,0.17,0.69,2.97,"Celery, raw matches recipe celery; macros consistent with raw celery.",pass,1,
YES,corn tostada shells,"Tostada shells, corn",167525,474,23.4,6.15,64.4,"Exact food match (corn tostada shells), macros consistent with fried corn shells.",pass,1,
YES,cornstarch,Cornstarch,169698,381,0.05,0.26,91.3,"Cornstarch matched to Cornstarch; macros (~91g carbs, near-zero fat/protein) fit dry cornstarch used in recipes.",pass,1,
YES,cream cheese,"Cheese, cream",173418,350,34.4,6.15,5.52,"Cream cheese matches 'Cheese, cream'; macros (~34g fat, high cal, low protein/carbs) fit.",pass,1,
YES,feta cheese,"Cheese, feta",173420,265,21.5,14.2,3.88,"Same food, correct state; macros match feta cheese.",pass,1,
YES,flat-leaf parsley,"Parsley, fresh",170416,36,0.79,2.97,6.33,Flat-leaf parsley is a variety of fresh parsley; macros match raw parsley.,pass,1,
YES,fresh basil,"Basil, fresh",172232,23,0.64,3.15,2.65,"Same food, correct fresh state; macros match fresh basil herb.",pass,1,
YES,fresh chive,"Chives, raw",169994,30,0.73,3.27,4.35,"Chives, raw matches fresh chive; macros consistent with the herb.",pass,1,
YES,fresh chives,"Chives, raw",169994,30,0.73,3.27,4.35,"Fresh chives matches 'Chives, raw'; macros consistent with the herb.",pass,1,
YES,fresh flat-leaf parsley,"Parsley, fresh",170416,36,0.79,2.97,6.33,"Flat-leaf parsley is fresh parsley; macros match fresh parsley (36 kcal, low fat, moderate carbs).",pass,1,
YES,fresh lemon juice,"Lemon juice, raw",167747,22,0.24,0.35,6.9,"Lemon juice, raw matches fresh lemon juice; macros consistent with lemon juice",pass,1,
YES,fresh lime,"Limes, raw",168155,30,0.2,0.7,10.5,"Fresh lime matches Limes, raw; macros fit citrus fruit.",pass,1,
YES,fresh lime juice,"Lime juice, raw",168156,25,0.07,0.42,8.42,"Lime juice, raw matches fresh lime juice; macros consistent with citrus juice.",pass,1,
YES,fresh parsley,"Parsley, fresh",170416,36,0.79,2.97,6.33,"Same food, fresh raw state; macros match parsley.",pass,1,
YES,fresh rosemary,"Rosemary, fresh",173473,131,5.86,3.31,20.7,"Same food, fresh state; macros match fresh rosemary.",pass,1,
YES,fresh thyme,"Thyme, fresh",173470,101,1.68,5.56,24.4,Fresh thyme matched to fresh thyme; macros consistent with fresh herb.,pass,1,
YES,garlic,"Garlic, raw",1104647,143,0.38,6.62,28.2,"Garlic, raw matches recipe garlic; macros consistent with raw garlic.",pass,1,
YES,granulated sugar,"Sugars, granulated",746784,385,0.32,0,99.6,"Same food, correct state; macros match pure sugar (~100% carbs, ~0 protein/fat).",pass,1,
YES,grated parmesan cheese,"Cheese, parmesan, grated",171247,420,27.8,28.4,13.9,Same food and state; grated parmesan macros match expected values.,pass,1,
YES,green leaf lettuce,"Lettuce, green leaf, raw",169249,15,0.15,1.36,2.87,"Exact match: green leaf lettuce raw, macros consistent with leafy vegetable.",pass,1,
YES,ground lamb,"Lamb, ground, raw",174370,282,23.4,16.6,0,"Same food, correct raw state; macros consistent with raw ground lamb.",pass,1,
YES,head of garlic,"Garlic, raw",1104647,143,0.38,6.62,28.2,Head of garlic is just multiple cloves of raw garlic; macros match raw garlic.,pass,1,
YES,honey,Honey,169640,304,0,0.3,82.4,"Honey matched to Honey; macros (304 kcal, ~82g carbs, ~0 fat/protein) fit honey exactly.",pass,1,
YES,italian bread loaf,"Bread, Italian",174913,259,2.73,9.49,48.1,"Italian bread loaf matches USDA Bread, Italian; macros consistent with bread",pass,1,
YES,kale,"Kale, raw",168421,35,1.49,2.92,4.42,"Kale, raw matches recipe kale; macros consistent with raw kale.",pass,1,
YES,lemon juice,"Lemon juice, raw",167747,22,0.24,0.35,6.9,"Lemon juice, raw matches recipe use; macros consistent with lemon juice.",pass,1,
YES,lime,"Limes, raw",168155,30,0.2,0.7,10.5,Recipe 'lime' matches whole raw limes; macros consistent with citrus fruit.,pass,1,
YES,lime juice,"Lime juice, raw",168156,25,0.07,0.42,8.42,Lime juice raw matches recipe usage; macros consistent with citrus juice,pass,1,
YES,limes,"Limes, raw",168155,30,0.2,0.7,10.5,Whole raw limes match the ingredient and macros are consistent.,pass,1,
YES,mild italian pork sausage,"Sausage, Italian, pork, mild, raw",171631,290,24.3,13.9,2.97,"Exact match: mild raw Italian pork sausage, macros consistent with raw pork sausage.",pass,1,
YES,parsley,"Parsley, fresh",170416,36,0.79,2.97,6.33,Fresh parsley matches recipe usage; macros consistent with raw parsley.,pass,1,
YES,pearl onion,"Onions, raw",170000,40,0.1,1.1,9.34,Pearl onion is a raw onion variety; macros match and size difference is negligible by weight.,pass,1,
YES,plain whole-milk greek yogurt,"Yogurt, Greek, plain, whole milk",171304,97,5,9,3.98,"Exact match: whole-milk plain Greek yogurt, macros consistent",pass,1,
YES,provolone cheese,"Cheese, provolone",170850,351,26.6,25.6,2.14,"Same food, same state; macros match typical provolone cheese values.",pass,1,
YES,radish,"Radishes, raw",169276,16,0.1,0.68,3.4,Radish raw matches recipe usage; macros consistent with fresh radish.,pass,1,
YES,red cabbage,"Cabbage, red, raw",169977,31,0.16,1.43,7.37,Red cabbage raw matches the ingredient and macros are consistent with raw cabbage.,pass,1,
YES,red onion,"Onions, red, raw",790577,44,0.1,0.94,9.93,"Same food, raw state; macros match red onion.",pass,1,
YES,red wine vinegar,"Vinegar, red wine",172240,19,0,0.04,0.27,"Exact match: red wine vinegar to Vinegar, red wine; macros consistent with vinegar.",pass,1,
YES,shallot,"Shallots, raw",170499,72,0.1,2.5,16.8,"Shallots, raw matches recipe shallot; macros consistent with raw shallot.",pass,1,
YES,shredded mexican blend cheese,"Cheese, Mexican blend",171288,384,32.1,23.5,0.13,"Same food (Mexican blend cheese, shredded); macros consistent with cheese.",pass,1,
YES,shredded mexican cheese blend,"Cheese, Mexican blend",171288,384,32.1,23.5,0.13,Shredded Mexican cheese blend matches the USDA Mexican blend cheese; macros are consistent with cheese.,pass,1,
YES,strawberries,"Strawberries, raw",167762,32,0.3,0.67,7.68,Raw strawberries match the recipe's use; macros consistent with fresh strawberries.,pass,1,
YES,strawberry,"Strawberries, raw",167762,32,0.3,0.67,7.68,Raw strawberries match the ingredient; macros are consistent.,pass,1,
